label,text
positive,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
negative,Text redacted
positive,Text redacted
negative,Text redacted
negative,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
positive,Text redacted
