label,text
positive,"😊Satisfied. I feel like I'm understanding the workload of the class better now. I had to build a new PC this last week so it's been difficult to attend. Now that my PC is built I can more easily attend this week's classes. Besides simply completing assignments, no."
positive,"😊Satisfied,😐Neutral (No strong positive or negative emotions). I feel as though Im actually getting the material now. I think just staying up to date with everything, I feel fine now

 . I just started paying better attention. Mainly just remembering when assignments are due, I could prob get a scheduler or something of the sort."
positive,"😍Excited,😊Satisfied. I really enjoy this class so far, and feel like I'm learning a lot of useful information.. I can't think of anything specific.. I can't think of anything specific.. Assignment 4 is a little trickier than I thought, but I'm getting through it.."
positive,😍Excited. Excited to learn more about the intricate details of swe.. Just understanding core concepts and applying them. Practing and learning . I don't have any.
positive,😍Excited. because I like this class and lot of content is very interesting.. nothing so far other than I did have to think a bit deeply about values and things related to it  for the credit card essay assignment.. I gathered my thoughts at first and if I had a thought randomly while not at home I would write it in my notes app on my phone. . nope .
positive,"😊Satisfied. I have not been struggling in the class so far and I feel like I am learning a lot. . I struggled a bit with figuring out SQL.. I got help from my fellow classmates on what I was doing wrong, which ended up being a simple fix. . Not currently."
positive,"😊Satisfied. TAs are responsive and are very helpful to clear any misunderstanding or confusing questions. With this, it has helped me get a better flow with the class and understand the topics a lot more.. Understanding and implementing FastAPI . Rewatching the course crash . N/A."
positive,😊Satisfied. TA's provide a great amount of support and our professor has a great way of teaching. . None so far. . N/A. Not at the moment. .
negative,"😊Satisfied,😖Frustrated,😰Anxious. I think im doing fine but some assignmnets have me frustrated, although I think that is coding in general.. Keep up with the workflow as I've been getting really lazy lately.. I just fore myself to do them but I am not nessacarily being productive. NA."
negative,"😐Neutral (No strong positive or negative emotions). In general, I don't feel that I have an interest in software engineering. This might be due to my course load this semester. . Git commands. Trying to push things into the repository is a nightmare for me. Seems like it should be simple, I think there's a mental block or something. . I have yet to overcome this challenge. I plan on meeting with one of the TA's to address it. . Outside of the git issue, I don't think that I'm facing any other challenges. ."
negative,"😟Confused. a lot of the quiz and test questions were very confusing and indirect, with no clear correct and incorrect answers in some cases.. understanding questions and what they are asking. take a more active approach to understanding the material and look for nuances within test/quiz questions. same as above."
negative,"😊Satisfied,😖Frustrated. I am trying to learn the same language in two different class and I am getting things mixed up . Trying to keep information straight in my head. I havent yet but I am starting to go to office hours with my TA's . I dont have anything specific."
negative,😖Frustrated. Tricky questions on the midterm. Assignment instructions. Dedicate more time to assignments. Not at the moment.
negative,"😖Frustrated. Almost every quiz or test I have taken has had poorly written questions, questions that don't align with material in slides, and trick questions that don't help the students learn.. Poorly written questions.. I did my best to try and figure out the information I am actually supposed to know.. Still just the questions.."
negative,"😰Anxious. I have been struggling with the work load conflicting with work from other courses as well as my job and other responsibilities at home. I believe that I can do well in the course, I just need to allocate my time better. This will be easier in the coming weeks as one of my other courses is ending soon. . Learning python at a quick rate, as I had no experience with it coming in to the course. . I have been trying to allocate my time better. . Finding time to complete all of the work. ."
negative,"😖Frustrated,😰Anxious. Have really struggled with balancing this class with others this summer but am gonna start turning it around.. Time Management . Gonna start doing stuff on time. Getting everything done."
